Rental Id;Game Id;Copy Id;Rental Date;Return Date;Customer Id;
Rental_91;Game_100;Copy_3;01-01-24;14-02-01;Cust_1044;
Rental_92;Game_100;Copy_4;19-12-23;29-01-20;Cust_1123;
Rental_93;Game_101;Copy_4;08-05-24;10-06-08;Cust_1120;
Rental_94;Game_103;Copy_1;30-01-24; ;Cust_1076;
Rental_95;Game_103;Copy_2;26-02-24; ;Cust_1039;
Rental_96;Game_104;Copy_1;20-02-24;22-03-20;Cust_1084;
Rental_97;Game_107;Copy_1;12-04-24; ;Cust_1039;
Rental_98;Game_107;Copy_4;04-12-23; ;Cust_1015;
Rental_99;Game_108;Copy_1;27-11-23; ;Cust_1106;
Rental_100;Game_110;Copy_3;24-04-24; ;Cust_1121;
Rental_101;Game_111;Copy_3;01-05-24;11-06-01;Cust_1081;
Rental_102;Game_111;Copy_5;01-04-24; ;Cust_1097;
Rental_103;Game_111;Copy_6;20-01-24; ;Cust_1012;
Rental_104;Game_117;Copy_4;17-05-24; ;Cust_1103;
Rental_105;Game_118;Copy_2;16-04-24; ;Cust_1116;
Rental_106;Game_121;Copy_1;27-12-23; ;Cust_1009;
Rental_107;Game_122;Copy_3;12-03-24;07-04-12;Cust_1023;
Rental_108;Game_125;Copy_1;01-02-24;27-03-01;Cust_1045;
Rental_109;Game_126;Copy_4;14-03-24; ;Cust_1075;
Rental_110;Game_126;Copy_5;21-12-23; ;Cust_1048;
Rental_111;Game_127;Copy_3;17-12-23;23-01-18;Cust_1033;
Rental_112;Game_130;Copy_1;11-05-24;21-06-11;Cust_1061;
Rental_113;Game_132;Copy_1;26-03-24;22-04-26;Cust_1004;
Rental_114;Game_133;Copy_3;11-12-23;28-01-12;Cust_1116;
Rental_115;Game_134;Copy_1;24-01-24;04-02-24;Cust_1130;
Rental_116;Game_135;Copy_5;07-05-24;07-06-07;Cust_1013;
Rental_117;Game_136;Copy_1;20-05-24;03-06-20;Cust_1118;
Rental_118;Game_136;Copy_4;14-01-24; ;Cust_1069;
Rental_119;Game_140;Copy_1;18-12-23;28-01-19;Cust_1118;
Rental_120;Game_140;Copy_2;25-01-24; ;Cust_1084;
Rental_121;Game_142;Copy_1;25-03-24;31-03-25;Cust_1099;
Rental_122;Game_142;Copy_2;26-03-24;28-04-26;Cust_1035;
Rental_123;Game_142;Copy_5;21-05-24;13-06-21;Cust_1125;
Rental_124;Game_142;Copy_6;29-04-24; ;Cust_1088;
Rental_125;Game_143;Copy_1;01-02-24;19-03-01;Cust_1014;
Rental_126;Game_145;Copy_1;24-03-24;27-03-24;Cust_1005;
Rental_127;Game_146;Copy_1;28-12-23; ;Cust_1112;
Rental_128;Game_146;Copy_5;28-04-24; ;Cust_1074;
Rental_129;Game_150;Copy_2;31-03-24; ;Cust_1125;
Rental_130;Game_152;Copy_3;04-04-24; ;Cust_1081;
Rental_131;Game_152;Copy_4;07-02-24; ;Cust_1092;
Rental_132;Game_156;Copy_1;22-04-24;13-05-22;Cust_1074;
Rental_133;Game_156;Copy_3;17-03-24;25-04-17;Cust_1026;
Rental_134;Game_157;Copy_2;06-12-23;15-01-07;Cust_1126;
Rental_135;Game_158;Copy_1;07-03-24;17-04-07;Cust_1059;
Rental_136;Game_160;Copy_1;22-04-24;20-05-22;Cust_1013;
Rental_137;Game_160;Copy_5;28-04-24;21-05-28;Cust_1079;
Rental_138;Game_161;Copy_1;26-01-24;21-02-26;Cust_1021;
Rental_139;Game_162;Copy_2;11-03-24; ;Cust_1102;
Rental_140;Game_163;Copy_2;04-02-24; ;Cust_1117;
Rental_141;Game_163;Copy_3;21-01-24;22-02-21;Cust_1054;
Rental_142;Game_165;Copy_1;26-12-23;11-01-27;Cust_1018;
Rental_143;Game_170;Copy_1;02-03-24; ;Cust_1096;
Rental_144;Game_171;Copy_2;28-11-23;23-12-28;Cust_1033;
Rental_145;Game_171;Copy_4;04-03-24;16-04-04;Cust_1080;
Rental_146;Game_172;Copy_2;29-11-23; ;Cust_1060;
Rental_147;Game_172;Copy_4;14-03-24;02-05-14;Cust_1097;
Rental_148;Game_173;Copy_1;03-05-24; ;Cust_1117;
Rental_149;Game_173;Copy_2;15-02-24; ;Cust_1022;
Rental_150;Game_173;Copy_4;19-12-23; ;Cust_1086;
Rental_151;Game_173;Copy_5;04-01-24; ;Cust_1046;
Rental_152;Game_174;Copy_1;26-04-24; ;Cust_1001;
Rental_153;Game_174;Copy_2;23-03-24;30-04-23;Cust_1051;
Rental_154;Game_176;Copy_1;11-03-24; ;Cust_1125;
Rental_155;Game_177;Copy_1;23-05-24; ;Cust_1019;
Rental_156;Game_177;Copy_5;06-02-24; ;Cust_1085;
Rental_157;Game_178;Copy_1;16-01-24; ;Cust_1001;
Rental_158;Game_178;Copy_2;10-01-24; ;Cust_1018;
Rental_159;Game_180;Copy_5;06-04-24; ;Cust_1128;
Rental_160;Game_185;Copy_3;25-02-24; ;Cust_1081;
Rental_161;Game_188;Copy_2;18-03-24;20-04-18;Cust_1106;
Rental_162;Game_188;Copy_3;15-02-24; ;Cust_1061;
Rental_163;Game_188;Copy_4;21-12-23; ;Cust_1124;
Rental_164;Game_188;Copy_5;08-12-23; ;Cust_1021;
Rental_165;Game_189;Copy_1;13-05-24; ;Cust_1014;
Rental_166;Game_189;Copy_3;16-02-24;09-03-16;Cust_1011;
Rental_167;Game_190;Copy_1;15-04-24;19-05-15;Cust_1070;
Rental_168;Game_191;Copy_1;21-12-23; ;Cust_1060;
Rental_169;Game_191;Copy_2;12-12-23;14-01-13;Cust_1086;
Rental_170;Game_192;Copy_2;01-03-24;20-04-01;Cust_1081;
Rental_171;Game_193;Copy_2;17-04-24; ;Cust_1113;
Rental_172;Game_194;Copy_2;27-11-23;07-12-27;Cust_1014;
Rental_173;Game_194;Copy_4;22-05-24;01-07-22;Cust_1129;
Rental_174;Game_194;Copy_6;18-01-24;27-02-18;Cust_1066;
Rental_175;Game_195;Copy_3;21-04-24;01-06-21;Cust_1067;
Rental_176;Game_196;Copy_2;26-04-24;01-05-26;Cust_1117;
Rental_177;Game_196;Copy_3;08-12-23;28-01-09;Cust_1041;
Rental_178;Game_197;Copy_1;08-03-24; ;Cust_1034;
Rental_179;Game_200;Copy_2;01-03-24;28-04-01;Cust_1106;
Rental_180;Game_200;Copy_3;26-02-24; ;Cust_1007;
Rental_181;Game_201;Copy_2;21-01-24; ;Cust_1116;
Rental_182;Game_203;Copy_1;27-02-24;25-03-27;Cust_1024;
Rental_183;Game_204;Copy_4;05-12-23;01-02-06;Cust_1103;
Rental_184;Game_206;Copy_1;11-03-24; ;Cust_1035;
Rental_185;Game_207;Copy_2;16-05-24; ;Cust_1130;
Rental_186;Game_209;Copy_1;02-12-23;31-12-02;Cust_1103;
Rental_187;Game_211;Copy_1;31-03-24; ;Cust_1105;
Rental_188;Game_211;Copy_3;04-12-23;11-01-05;Cust_1130;
Rental_189;Game_211;Copy_4;06-12-23;21-01-07;Cust_1069;
Rental_190;Game_212;Copy_1;27-03-24;30-04-27;Cust_1066;
Rental_191;Game_213;Copy_1;26-02-24;31-03-26;Cust_1115;
Rental_192;Game_214;Copy_1;23-05-24; ;Cust_1003;
Rental_193;Game_215;Copy_2;07-12-23; ;Cust_1119;
Rental_194;Game_216;Copy_1;04-04-24; ;Cust_1025;
Rental_195;Game_216;Copy_2;18-04-24; ;Cust_1026;
Rental_196;Game_216;Copy_3;21-12-23; ;Cust_1081;
Rental_197;Game_217;Copy_1;12-12-23;26-12-12;Cust_1039;
Rental_198;Game_217;Copy_3;14-03-24;20-04-14;Cust_1060;
Rental_199;Game_217;Copy_5;07-02-24;22-03-07;Cust_1005;
Rental_200;Game_219;Copy_2;01-12-23; ;Cust_1030;
Rental_201;Game_221;Copy_2;21-05-24;16-06-21;Cust_1011;
Rental_202;Game_221;Copy_3;11-03-24;15-04-11;Cust_1019;
Rental_203;Game_221;Copy_6;27-01-24; ;Cust_1079;
Rental_204;Game_222;Copy_2;16-02-24; ;Cust_1015;
Rental_205;Game_222;Copy_5;05-03-24;01-05-05;Cust_1069;
Rental_206;Game_224;Copy_1;04-02-24;10-03-04;Cust_1114;
Rental_207;Game_225;Copy_4;28-12-23;27-12-28;Cust_1114;
Rental_208;Game_228;Copy_3;11-01-24; ;Cust_1093;
Rental_209;Game_230;Copy_2;12-12-23; ;Cust_1059;
Rental_210;Game_232;Copy_2;02-01-24;05-02-02;Cust_1083;
Rental_211;Game_232;Copy_5;16-03-24; ;Cust_1118;
Rental_212;Game_233;Copy_5;17-01-24;14-02-17;Cust_1030;
Rental_213;Game_234;Copy_2;17-05-24;19-06-17;Cust_1097;
Rental_214;Game_234;Copy_4;30-11-23;29-11-30;Cust_1084;
Rental_215;Game_235;Copy_1;25-01-24; ;Cust_1048;
Rental_216;Game_241;Copy_2;12-05-24;13-06-12;Cust_1034;
Rental_217;Game_241;Copy_3;03-03-24; ;Cust_1004;
Rental_218;Game_241;Copy_4;11-12-23; ;Cust_1011;
Rental_219;Game_242;Copy_1;01-02-24; ;Cust_1066;
Rental_220;Game_247;Copy_3;25-12-23;11-01-26;Cust_1120;
Rental_221;Game_247;Copy_5;28-12-23;05-01-29;Cust_1061;
Rental_222;Game_247;Copy_6;23-04-24; ;Cust_1086;
Rental_223;Game_248;Copy_1;19-01-24;28-02-19;Cust_1076;
Rental_224;Game_248;Copy_3;04-03-24; ;Cust_1127;
