Game Id;Platform;Genre;Title;Purchase Price;Purchase Date
68;Xbox;Actions;Game_68_Actions;63;10-07-23
69;Nintendo;Shooter;Game_69_Shooter;53;29-07-22
70;PlayStations;Actions;Game_70_Actions;67;08-04-23
71;Nintendo;Adventures;Game_71_Adventures;55;16-04-22
72;Nintendo;Adventures;Game_72_Adventures;45;15-04-22
73;Nintendo;Adventures;Game_73_Adventures;51;13-02-23
74;Nintendo;Shooter;Game_74_Shooter;38;24-12-23
75;PlayStations;Actions;Game_75_Actions;49;25-09-23
76;PlayStations;Puzzle;Game_76_Puzzle;54;11-01-24
77;Xbox;Actions;Game_77_Actions;65;29-09-23
78;Nintendo;Adventures;Game_78_Adventures;42;20-10-21
79;Nintendo;Shooter;Game_79_Shooter;63;22-01-23
80;Nintendo;Adventures;Game_80_Adventures;45;22-03-22
81;Nintendo;Adventures;Game_81_Adventures;69;12-08-23
82;Xbox;Adventures;Game_82_Adventures;42;27-11-23
83;PlayStations;Shooter;Game_83_Shooter;59;25-11-23
84;PlayStations;Actions;Game_84_Actions;66;19-10-23
85;Nintendo;Shooter;Game_85_Shooter;50;22-11-23
86;Nintendo;Puzzle;Game_86_Puzzle;32;19-06-23
87;Xbox;Shooter;Game_87_Shooter;64;18-08-23
88;Xbox;Puzzle;Game_88_Puzzle;67;20-12-21
89;PlayStations;Actions;Game_89_Actions;23;29-04-23
90;Nintendo;Puzzle;Game_90_Puzzle;35;07-10-23
91;Xbox;Shooter;Game_91_Shooter;50;24-04-23
92;Xbox;Puzzle;Game_92_Puzzle;36;30-07-22
93;PlayStations;Puzzle;Game_93_Puzzle;45;12-02-24
94;Xbox;Shooter;Game_94_Shooter;35;17-08-22
95;PlayStations;Shooter;Game_95_Shooter;59;18-02-24
96;Nintendo;Puzzle;Game_96_Puzzle;27;16-03-23
97;Nintendo;Puzzle;Game_97_Puzzle;66;05-04-23
98;Nintendo;Actions;Game_98_Actions;30;02-05-23
99;Nintendo;Adventures;Game_99_Adventures;39;09-03-22
100;PlayStations;Puzzle;Game_100_Puzzle;34;06-08-23
101;Xbox;Shooter;Game_101_Shooter;32;22-12-23
102;Xbox;Puzzle;Game_102_Puzzle;50;29-10-23
103;Xbox;Shooter;Game_103_Shooter;68;09-11-23
104;Nintendo;Adventures;Game_104_Adventures;32;24-09-22
105;Xbox;Puzzle;Game_105_Puzzle;42;29-04-23
106;Nintendo;Shooter;Game_106_Shooter;40;01-09-23
107;Xbox;Actions;Game_107_Actions;60;24-02-23
108;PlayStations;Shooter;Game_108_Shooter;60;21-07-22
109;Nintendo;Puzzle;Game_109_Puzzle;29;23-02-23
110;Xbox;Shooter;Game_110_Shooter;42;30-06-23
111;PlayStations;Adventures;Game_111_Adventures;65;18-03-22
112;PlayStations;Actions;Game_112_Actions;26;05-11-21
113;PlayStations;Puzzle;Game_113_Puzzle;50;18-04-23
114;Xbox;Shooter;Game_114_Shooter;28;01-09-22
115;Nintendo;Shooter;Game_115_Shooter;67;01-02-23
116;Xbox;Adventures;Game_116_Adventures;67;08-05-22
117;PlayStations;Adventures;Game_117_Adventures;67;13-05-23
118;Xbox;Shooter;Game_118_Shooter;27;08-09-23
119;Nintendo;Shooter;Game_119_Shooter;38;13-12-21
120;Xbox;Puzzle;Game_120_Puzzle;27;17-11-23
121;PlayStations;Puzzle;Game_121_Puzzle;34;28-04-23
122;PlayStations;Adventures;Game_122_Adventures;68;10-01-24
123;Xbox;Shooter;Game_123_Shooter;61;11-08-23
124;PlayStations;Actions;Game_124_Actions;36;29-08-23
125;PlayStations;Shooter;Game_125_Shooter;47;17-12-21
126;PlayStations;Actions;Game_126_Actions;49;22-09-22
127;Nintendo;Actions;Game_127_Actions;29;25-10-21
128;PlayStations;Puzzle;Game_128_Puzzle;46;02-07-22
129;Xbox;Actions;Game_129_Actions;37;19-08-22
130;Nintendo;Shooter;Game_130_Shooter;49;25-03-22
131;Nintendo;Puzzle;Game_131_Puzzle;33;10-04-22
132;Nintendo;Shooter;Game_132_Shooter;22;07-09-22
133;Nintendo;Actions;Game_133_Actions;53;01-12-22
134;Nintendo;Adventures;Game_134_Adventures;35;30-01-23
135;Xbox;Adventures;Game_135_Adventures;25;02-12-21
136;PlayStations;Actions;Game_136_Actions;27;24-10-22
137;PlayStations;Actions;Game_137_Actions;66;14-05-22
138;Xbox;Puzzle;Game_138_Puzzle;48;19-10-22
139;Xbox;Shooter;Game_139_Shooter;69;13-05-23
140;PlayStations;Actions;Game_140_Actions;65;11-01-24
141;PlayStations;Shooter;Game_141_Shooter;61;30-11-22
142;Nintendo;Adventures;Game_142_Adventures;44;06-11-21
143;Nintendo;Puzzle;Game_143_Puzzle;63;30-01-23
144;Nintendo;Adventures;Game_144_Adventures;51;30-11-21
145;PlayStations;Actions;Game_145_Actions;39;09-04-23
146;Xbox;Puzzle;Game_146_Puzzle;40;22-07-22
147;Xbox;Actions;Game_147_Actions;46;21-10-21
148;PlayStations;Puzzle;Game_148_Puzzle;40;14-09-23
149;Nintendo;Actions;Game_149_Actions;38;27-10-21
150;Nintendo;Actions;Game_150_Actions;44;04-08-22
151;Xbox;Puzzle;Game_151_Puzzle;56;15-02-22
152;PlayStations;Puzzle;Game_152_Puzzle;31;12-11-22
153;Xbox;Adventures;Game_153_Adventures;20;25-12-23
154;Nintendo;Actions;Game_154_Actions;61;15-10-22
155;Xbox;Shooter;Game_155_Shooter;54;09-08-22
156;PlayStations;Puzzle;Game_156_Puzzle;23;16-01-23
157;Xbox;Puzzle;Game_157_Puzzle;48;01-09-22
158;Nintendo;Actions;Game_158_Actions;32;26-04-22
159;Xbox;Adventures;Game_159_Adventures;28;12-09-23
160;Xbox;Actions;Game_160_Actions;48;22-12-21
161;Xbox;Puzzle;Game_161_Puzzle;42;19-06-22
162;Xbox;Actions;Game_162_Actions;35;16-06-22
163;Nintendo;Puzzle;Game_163_Puzzle;41;31-01-22
164;PlayStations;Adventures;Game_164_Adventures;48;17-10-22
165;Nintendo;Adventures;Game_165_Adventures;46;20-04-23
166;Nintendo;Puzzle;Game_166_Puzzle;37;29-12-21
167;Nintendo;Actions;Game_167_Actions;24;20-01-23
168;PlayStations;Adventures;Game_168_Adventures;50;19-06-22
169;Nintendo;Adventures;Game_169_Adventures;42;12-06-22
170;PlayStations;Shooter;Game_170_Shooter;62;02-02-22
171;PlayStations;Shooter;Game_171_Shooter;50;29-11-22
172;PlayStations;Puzzle;Game_172_Puzzle;64;11-01-22
173;Xbox;Adventures;Game_173_Adventures;59;07-10-21
174;Nintendo;Adventures;Game_174_Adventures;23;25-10-21
175;Nintendo;Adventures;Game_175_Adventures;29;07-09-23
176;Nintendo;Puzzle;Game_176_Puzzle;26;16-01-22
177;Xbox;Actions;Game_177_Actions;69;14-12-22
178;Nintendo;Adventures;Game_178_Adventures;63;09-09-22
179;Nintendo;Adventures;Game_179_Adventures;46;20-02-23
180;PlayStations;Actions;Game_180_Actions;30;26-12-21
181;Xbox;Adventures;Game_181_Adventures;55;21-11-21
182;Xbox;Actions;Game_182_Actions;56;05-04-23
183;Nintendo;Shooter;Game_183_Shooter;70;21-03-23
184;Xbox;Puzzle;Game_184_Puzzle;32;20-12-23
185;Nintendo;Adventures;Game_185_Adventures;59;02-08-23
186;Nintendo;Shooter;Game_186_Shooter;44;01-11-22
187;PlayStations;Puzzle;Game_187_Puzzle;68;15-02-22
188;Nintendo;Adventures;Game_188_Adventures;32;25-09-22
189;Nintendo;Adventures;Game_189_Adventures;39;10-09-22
190;PlayStations;Puzzle;Game_190_Puzzle;39;04-04-23
191;PlayStations;Puzzle;Game_191_Puzzle;69;16-12-23
192;Xbox;Puzzle;Game_192_Puzzle;54;11-05-22
193;PlayStations;Puzzle;Game_193_Puzzle;62;27-06-23
194;Xbox;Shooter;Game_194_Shooter;68;14-01-23
195;Nintendo;Adventures;Game_195_Adventures;61;01-05-22
196;Xbox;Puzzle;Game_196_Puzzle;34;11-06-23
197;Xbox;Actions;Game_197_Actions;63;20-04-22
198;PlayStations;Shooter;Game_198_Shooter;31;28-03-22
199;Xbox;Shooter;Game_199_Shooter;63;19-04-22
200;Xbox;Shooter;Game_200_Shooter;26;30-05-23
201;PlayStations;Puzzle;Game_201_Puzzle;25;14-11-22
202;Xbox;Shooter;Game_202_Shooter;66;29-02-24
203;Nintendo;Shooter;Game_203_Shooter;39;06-05-22
204;PlayStations;Actions;Game_204_Actions;32;21-06-22
205;Nintendo;Puzzle;Game_205_Puzzle;41;09-10-23
206;PlayStations;Adventures;Game_206_Adventures;36;14-12-23
207;Xbox;Shooter;Game_207_Shooter;58;28-01-22
208;Xbox;Actions;Game_208_Actions;65;15-08-23
209;Xbox;Adventures;Game_209_Adventures;25;20-05-23
210;PlayStations;Puzzle;Game_210_Puzzle;41;02-03-24
211;PlayStations;Shooter;Game_211_Shooter;41;23-04-23
212;Nintendo;Adventures;Game_212_Adventures;66;04-03-24
213;Xbox;Shooter;Game_213_Shooter;26;17-03-23
214;Xbox;Actions;Game_214_Actions;35;20-08-22
215;Xbox;Shooter;Game_215_Shooter;30;13-05-22
216;PlayStations;Actions;Game_216_Actions;49;11-12-21
217;PlayStations;Puzzle;Game_217_Puzzle;53;14-03-22
218;Nintendo;Shooter;Game_218_Shooter;30;13-10-21
219;PlayStations;Shooter;Game_219_Shooter;48;11-02-23
220;Xbox;Puzzle;Game_220_Puzzle;45;22-10-23
221;Xbox;Puzzle;Game_221_Puzzle;32;05-03-22
222;Xbox;Shooter;Game_222_Shooter;64;31-07-23
223;Xbox;Puzzle;Game_223_Puzzle;35;08-10-23
224;Nintendo;Shooter;Game_224_Shooter;35;14-04-23
225;Nintendo;Shooter;Game_225_Shooter;58;22-12-22
226;Xbox;Actions;Game_226_Actions;25;16-01-23
227;Xbox;Shooter;Game_227_Shooter;44;14-05-23
228;PlayStations;Puzzle;Game_228_Puzzle;24;14-02-22
229;PlayStations;Puzzle;Game_229_Puzzle;33;01-12-21
230;Nintendo;Puzzle;Game_230_Puzzle;31;07-02-24
231;Xbox;Actions;Game_231_Actions;62;24-02-24
232;PlayStations;Shooter;Game_232_Shooter;66;29-12-21
233;PlayStations;Adventures;Game_233_Adventures;57;22-09-23
234;Xbox;Shooter;Game_234_Shooter;37;23-02-23
235;Xbox;Shooter;Game_235_Shooter;48;20-02-24
236;Nintendo;Actions;Game_236_Actions;23;26-09-22
237;Nintendo;Shooter;Game_237_Shooter;50;08-01-22
238;PlayStations;Puzzle;Game_238_Puzzle;54;13-08-22
239;Nintendo;Actions;Game_239_Actions;70;06-01-23
240;Nintendo;Adventures;Game_240_Adventures;38;25-03-23
241;Xbox;Puzzle;Game_241_Puzzle;38;07-03-22
242;Xbox;Shooter;Game_242_Shooter;63;02-04-22
243;Xbox;Puzzle;Game_243_Puzzle;68;22-10-23
244;Nintendo;Shooter;Game_244_Shooter;59;05-01-23
245;Nintendo;Actions;Game_245_Actions;26;30-03-23
246;Xbox;Puzzle;Game_246_Puzzle;52;12-11-22
247;PlayStations;Puzzle;Game_247_Puzzle;61;28-10-22
248;Xbox;Shooter;Game_248_Shooter;47;08-06-23
249;Xbox;Actions;Game_249_Actions;33;06-01-23
